a=1,α
al=1,阿里Al
ap=2,APIv
aq=1,安全Aq
aqf=1,AQFv
as=1,Asav
as=2,Asana
az=1,安卓Az
b=1,β 
bb=1,版本Bb
bc=1,编程Bc
bf=1,备份Bf
bg=1,报告Bg
bh=1,变化Bh
bj=3,边际Ma
bj=1,笔记Bj
bjb=1,笔记本Bjb
bk=1,博客Bk
bk=1,崩溃Bk
bl=1,辩论Bl
bl=1,伴侣Pa
bn=1,本能bn
bo=1,shu
bq=1,tag:
bq=1,-tag:0
bs=1,悲伤Bs
bt=1,intitle:
bt=2,悲痛Bt
by=1,博弈By
by=2,备用By
bz=1,帮助Bz
bz=2,本质Bz
c=2,china
c=1,▲ 
cb=1,财报Cb
cf=1,财富Cf
cf=1,触发Cf
cfa=1,CFAv
cg=1,成功Cg
ch=2,Chrome
ch=1,Chrv
cj=1,created:
cl=1,策略Cl
cw=1,错误Cw
cx=1,程序Cx
cx=1,创新Cx
cy=1,超越Cy
d=1,day
da=1,档案Da
db=1,对比Db
db=1,待办db
dbd=1,代表大会dbdh
dc=1,洞察Dc
dg=1,大纲Dg
dj=1,动机Dj
dj=1,对接Dj
dk=1,带宽Dk
dk=1,netstat -aon|findstr "1080"
dl=2,动力Dl
dls=1,独立思考Dlsk
dn=1,大脑Dn
dn=2,电脑Dn
dr=3,Drafts
dr=2,Drav
ds=1,对手Ds
dt=1,导图Dt
dt=2,倒退Dt
dx=1,大学Dx
e=2,#
e=1,Ⅲ
fc=1,房产Fc
ff=1,方法Ff
fk=1,反馈Fk
fl=1,∑
fl=1,法律Fl
fl=1,弗兰Fr
fl=1,分类Fl
fl=1,复利Fl
fm=1,父母Fm
fm=2,费曼学习法Fmxxf
fn=1,愤怒Fn
fp=1,复盘Fp
frm=1,FRMv
fs=1,反思Fs
ft=2,FTvv
fx=1,复习Re
fx=1,风险Ri
fx=2,方向Di
fx=1,分析Fx
fy=1,防御Fy
fz=2,反转Fz
fz=1,发展报告Fzbg
fzy=1,副作用fzy
g=1,γ
gb=1,改变Gb
gd=1,归档Gd
gd=1,观点Gd
gg=1,ggforljx@gmail.com
gg=2,改革Gg
gh=1,规划Gh
gi=1,GitHub
gi=1,GiHv
gj=1,感觉Gj
gj=1,工具Gj
gj=1,国际Gj
gjc=2,intext:
gk=1,管窥Gk
gl=1,管理Gl
gl=1,概率Gl
glq=1,过滤器Glq
gp=1,股票Gp
grwz=1,个人网站Grwz
gs=1,filetype:
gs=1,公式Gs
gw=1,购物Gw
gx=3,updated:
gx=2,关系Gx
gx=1,更新Gx
gz=2,工作Gz
gz=3,高中Gz
gz=3,个站Gz
hc=1,好处Hc
hd=1,回答Hd
hd=2,活动Hd
hl=1,华莱Hl
hl=3,混乱Hl
hl=1,互联Hl
hlw=1,互联网Hlw
ho=2,Homv
ho=3,Home
hs=1,函数Hs
ht=1,后台Ht
ht=2,HTMv
ht=3,HTML
hw=1,换位Hw
hx=1,核心Hx
hy=1,谎言Hy
hz=1,合作Hz
i=1,Ⅷ
if=1,IFTv
if=2,IFTTT
io=1,iOSv
ip=1,IPyv
ip=1,iPav
ip=3,iPhv
ipo=1,IPOv
ja=1,Javv
ja=2,Java
jb=2,级别Jb
jb=2,脚本Jb
jc=1,决策Jc
jc=2,坚持Jc
jcz=1,检查组Jcz
jd=1,角度Jd
jd=2,监督Jd
jd=1,进度Jd
jh=1,? 
jh=3,机会Jh
jh=2,进化Jh
jh=1,计划Jh
jj=3,拒绝Jj
jj=2,基金Jj
jj=1,经济Jj
jjf=1,经济法Jjf
jjx=2,经济学人Jjxr
jk=1,健康jk
jl=1,记录Jl
jl=1,激励Mo
jl=1,交流Jl
jl=1,精力Jl
jlp=1,纪录片Jlp
jq=2,机器Jqxx
jr=1,金融Jr
js=1,假设Js
js=1,JSvv
js=1,军事Js
jt=1,家庭Jt
ju=1,jupyter notebook
jw=1,交往Jw
jx=1,教训Jx
jy=5,经验Sy
jy=1,交易Jy
jy=3,记忆Jy
jyx=1,解忧小店Jyxd
jz=1,急躁Jz
jz=1,竞争Co
jz=1,机制Jz
kcb=1,科创板Kcb
kg=1,客观Kg
kh=2,困惑Kh
ki=1,Kidv
kj=1,恐惧fea
kj=1,会计acc
kj=1,课件kej
kk=1,看空kan
kls=1,康老师，求找一本书，群文件里搜索过了，[]. 谢谢~~
kn=1,困难Kn
ks=1,考试Ks
